10,"0.072*""useless"" + 0.067*""cup"" + 0.049*""tray"" + 0.037*""holder"" + 0.026*""purpose"" + 0.026*""bent"" + 0.018*""liked"" + 0.017*""oz"" + 0.015*""unusable"" + 0.015*""measure"""
11,"0.075*""smell"" + 0.044*""burn"" + 0.027*""like"" + 0.021*""melt"" + 0.019*""use"" + 0.018*""shake"" + 0.017*""grill"" + 0.017*""fire"" + 0.016*""smoke"" + 0.014*""house"""
12,"0.071*""wash"" + 0.069*""rust"" + 0.047*""use"" + 0.038*""hand"" + 0.031*""dishwasher"" + 0.028*""dry"" + 0.026*""dish"" + 0.023*""safe"" + 0.023*""first"" + 0.022*""juice"""
13,"0.078*""apart"" + 0.077*""knife"" + 0.064*""cut"" + 0.058*""edge"" + 0.050*""blade"" + 0.048*""fell"" + 0.036*""leg"" + 0.030*""slice"" + 0.026*""fall"" + 0.026*""finger"""
14,"0.175*""money"" + 0.115*""waste"" + 0.049*""worth"" + 0.037*""buy"" + 0.036*""time"" + 0.035*""away"" + 0.033*""shaker"" + 0.031*""save"" + 0.031*""throw"" + 0.027*""terrible"""
15,"0.063*""coffee"" + 0.043*""water"" + 0.034*""clock"" + 0.028*""hot"" + 0.021*""maker"" + 0.018*""keep"" + 0.017*""alarm"" + 0.017*""make"" + 0.017*""cup"" + 0.017*""pot"""
16,"0.050*""rip"" + 0.039*""head"" + 0.030*""weigh"" + 0.029*""son"" + 0.028*""foot"" + 0.027*""spring"" + 0.025*""pain"" + 0.020*""lead"" + 0.018*""beater"" + 0.018*""hinge"""
17,"0.108*""quality"" + 0.074*""product"" + 0.064*""make"" + 0.060*""poor"" + 0.039*""would"" + 0.039*""cheap"" + 0.034*""recommend"" + 0.029*""good"" + 0.025*""price"" + 0.019*""disappointed"""
18,"0.101*""filter"" + 0.100*""bag"" + 0.027*""image"" + 0.025*""mold"" + 0.021*""purifier"" + 0.020*""space"" + 0.020*""system"" + 0.018*""video"" + 0.018*""fragile"" + 0.014*""type"""
19,"0.146*""table"" + 0.087*""can"" + 0.071*""hook"" + 0.068*""not"" + 0.047*""b"" + 0.047*""link"" + 0.032*""normal"" + 0.027*""product"" + 0.017*""ie"" + 0.017*""ref"""
20,"0.041*""vacuum"" + 0.033*""shoe"" + 0.029*""floor"" + 0.023*""pick"" + 0.020*""suck"" + 0.019*""furniture"" + 0.019*""suction"" + 0.015*""cord"" + 0.014*""hair"" + 0.014*""wheel"""
21,"0.209*""iron"" + 0.048*""board"" + 0.046*""heavy"" + 0.044*""spoon"" + 0.043*""sharp"" + 0.022*""square"" + 0.021*""chocolate"" + 0.018*""rowenta"" + 0.018*""dull"" + 0.016*""length"""
22,"0.096*""piece"" + 0.073*""bad"" + 0.072*""junk"" + 0.057*""buy"" + 0.051*""ever"" + 0.033*""horrible"" + 0.024*""garbage"" + 0.022*""product"" + 0.022*""crap"" + 0.021*""thing"""
23,"0.060*""like"" + 0.054*""look"" + 0.043*""get"" + 0.033*""set"" + 0.029*""really"" + 0.029*""good"" + 0.025*""would"" + 0.020*""nice"" + 0.020*""think"" + 0.019*""want"""
24,"0.039*""machine"" + 0.031*""clean"" + 0.026*""get"" + 0.021*""use"" + 0.019*""water"" + 0.016*""make"" + 0.014*""time"" + 0.014*""steam"" + 0.011*""good"" + 0.011*""take"""
25,"0.076*""oven"" + 0.038*""rod"" + 0.037*""cube"" + 0.034*""tea"" + 0.033*""temperature"" + 0.031*""probe"" + 0.026*""degree"" + 0.025*""apple"" + 0.024*""meat"" + 0.023*""dont"""
26,"0.055*""fan"" + 0.051*""air"" + 0.049*""room"" + 0.027*""cool"" + 0.023*""high"" + 0.022*""low"" + 0.019*""heater"" + 0.017*""display"" + 0.017*""set"" + 0.016*""heat"""
27,"0.157*""glass"" + 0.060*""heat"" + 0.037*""panasonic"" + 0.036*""peel"" + 0.026*""flat"" + 0.021*""warp"" + 0.021*""bread"" + 0.019*""top"" + 0.016*""tree"" + 0.016*""ceramic"""
28,"0.085*""lid"" + 0.044*""salt"" + 0.041*""top"" + 0.035*""leak"" + 0.030*""design"" + 0.020*""seal"" + 0.019*""open"" + 0.017*""bottom"" + 0.013*""water"" + 0.013*""kettle"""
29,"0.057*""customer"" + 0.053*""service"" + 0.045*""call"" + 0.035*""company"" + 0.031*""warranty"" + 0.029*""tell"" + 0.029*""contact"" + 0.027*""say"" + 0.026*""replacement"" + 0.025*""send"""
30,"0.051*""ice"" + 0.040*""candle"" + 0.038*""blender"" + 0.033*""jar"" + 0.030*""mattress"" + 0.026*""make"" + 0.025*""pitcher"" + 0.019*""motor"" + 0.017*""fountain"" + 0.014*""drink"""
31,"0.048*""together"" + 0.048*""screw"" + 0.044*""hole"" + 0.039*""put"" + 0.029*""part"" + 0.027*""bowl"" + 0.024*""piece"" + 0.020*""come"" + 0.020*""fit"" + 0.019*""assemble"""
32,"0.063*""return"" + 0.042*""box"" + 0.041*""item"" + 0.033*""order"" + 0.032*""back"" + 0.031*""receive"" + 0.030*""amazon"" + 0.027*""arrive"" + 0.023*""one"" + 0.023*""send"""
33,"0.058*""month"" + 0.044*""use"" + 0.040*""work"" + 0.035*""time"" + 0.033*""one"" + 0.026*""first"" + 0.026*""week"" + 0.026*""last"" + 0.025*""buy"" + 0.021*""year"""
34,"0.084*""break"" + 0.067*""plastic"" + 0.041*""cheap"" + 0.038*""handle"" + 0.032*""use"" + 0.032*""crack"" + 0.024*""flimsy"" + 0.024*""metal"" + 0.022*""easily"" + 0.019*""make"""
